,Row.names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
461,ALG14,24.00194703,-0.656107911,0.481015511,-1.364005726,0.172565764,NA
462,ALG3,61.21650988,-0.028567006,0.296771334,-0.096259316,0.923314622,0.969978228
463,ALG5,129.9047555,0.079818681,0.213402511,0.37402878,0.708382905,0.871243079
464,ALG6,85.03262716,0.006449458,0.255975709,0.025195587,0.979898957,0.99287116
465,ALG8,115.7473753,-0.041045715,0.237741511,-0.172648498,0.862927729,0.946363125
466,ALG9,261.3164647,-0.057134813,0.156907444,-0.364130672,0.715760434,0.875483705
467,ALK,0.5339822,-1.918337088,3.675380826,-0.5219424,0.601710436,NA
468,ALKBH1,42.95760866,0.082921666,0.391464863,0.211824033,0.832244318,0.931982426
469,ALKBH2,22.24532152,-0.503081953,0.517387037,-0.97235129,0.330875816,NA
470,ALKBH3,93.3699089,-0.52190464,0.245636392,-2.124704063,0.033611314,0.160868024
471,ALKBH4,25.12370365,0.088180594,0.501195197,0.175940621,0.860340592,NA
472,ALKBH5,314.8754347,0.012495381,0.155370353,0.0804232,0.935900676,0.975847929
473,ALKBH6,39.99019212,-0.528511348,0.386491357,-1.36745968,0.171481267,NA
474,ALKBH7,20.79992383,-0.026967937,0.484946645,-0.055610112,0.955652409,NA
475,ALKBH8,191.6541393,-0.32988319,0.197363119,-1.671453067,0.094632221,0.307477355
476,ALLC,0,NA,NA,NA,NA,NA
477,ALMS1,884.966603,-0.075288956,0.104726631,-0.718909368,0.472196764,0.72481802
478,ALOX12,0,NA,NA,NA,NA,NA
479,ALOX12B,0.803775366,2.182487213,3.000121219,0.727466343,0.466940326,NA
480,ALOX15,9.182166813,1.476847238,1.145369386,1.289406942,0.197256649,NA
481,ALOX15B,0.092514041,0,5.39771668,0,1,NA
482,ALOX5,0.116501016,0,5.39771668,0,1,NA
483,ALOXE3,77.21374215,0.610823221,0.356170534,1.714974044,0.086349986,0.290149969
484,ALPI,0.151702512,1.39235124,5.382264341,0.258692467,0.795872532,NA
485,ALPK1,27.74719674,0.814698025,0.473617961,1.720158634,0.08540361,NA
486,ALPK2,2721.73478,0.221763282,0.103295987,2.146872181,0.031803459,0.15558797
